questions,answers
Veggie seedlings died Bean seedlings Blackened stem Fungus (Dumping off),"Use fresh, unused soil to plant the seeds; provide enough bright, indirect light for them to grow "
Rust on beans Beans  Fungus (Rust),Remove the rust Neem juice  (neem oil + water); fermented tobacco leaves
Cultivation - Can beans plant grow under full sun? Beans  ,"Yes, can but need structure for the plant to climb. "
Bear Paw leaves falling off. Bear Paw plant (Cotyledon tomentosa) Leaf dropping ,"Make sure soil is well-drained, needs a lot of light and do not let it sit in water. "
"Begonia growing taller, how to maintain its bushiness? Begonia Elongated stem ",species associated. 
Why is my belimbeng tree not growing? Belimbeng Not growing well ,"Pot may be too small, change looser soil media "
Belington fruit has black spots on it? Belington  Black spots on fruits ,Suspect borers. Bag it at its early stage of fruiting Borers
What is the plant attracts white butterfly that is  commonly found in the plots Bidens pilosa  ,Bidens pilosa 
"Indoor plant palette Bird's Nest Fern, Orchid  ","Bird nest fern, Dendrobium "
Bitter Gourd leaves yellowing Bitter gourd Yellowing leaves ,Could be too much watering and need fertilizer 
Cultivation - How to grow piper nigrum Black Pepper (Piper nigrum)  , 
Blue berry sapling got interveinal chlorosis in old leaves Blue berry Interveinal chlorosis on old leaves ,Apply fertiliser with trace elements 
My blue pea flowers are turning mouldy and mushy. Blue Butterfly Pea (Clitoria ternatea) Flowers turning mouldy and mushy Fungus,Recent downpours created a lot of humidity which promotes fungal growth; wait for sunny days to resolve the problem 
Why are there white specks on my butterfly pea leaves? Blue Butterfly Pea (Clitoria ternatea) white specks Spider mite,Possibly infested by spider mites. Apply neem oil or lime sulphur. Neem oil; lime sulphur.
Blue pea leaves with small white spots Blue Butterfly Pea (Clitoria ternatea) White spots (sunscald) on leaves ,Water droplets cause sunscald 
Blue pea leaves with yellow dots Blue Butterfly Pea (Clitoria ternatea) Yellow spots on leaves ,Spider mites 
Butterfly pea got attack  Blue Butterfly Pea (Clitoria ternatea)  ,Remove the affected leaves   
Butterfly pea leaves are turning yellow Blue Butterfly Pea (Clitoria ternatea) Yellowing leaves ,Not enough sunlight as the area only receive 1 - 2 hours of sun. Best to move to a place with more sun.  
butterfly pea plant's leaves drop Blue Butterfly Pea (Clitoria ternatea) Leaf dropping ,"hot weather, provide more watering "
Propagation - How to grow Blue Butterfly Pea? Blue Butterfly Pea (Clitoria ternatea)  ,Stem cutting 
"Leaf miner and Mealybug on bok choy  Bok Choy Trailing on leaf Leaf miner, Mealybug",Cut away affected area. Use neem oil to disrupt life cycle of leaf miner and repel Mealybugs Neem oil / white oil; yellow sticky traps
What is the black stuff growing on my bonsai plant? Bonsai Plant  Fungus (Sooty mould) ,Sooty mould 
Can be alternate indoor & outdoor weekly? Bonsai Plant  ,"Advice that when it is indoor , put near window for sunlight "
Can re-pot Bonsai plant? Bonsai Plant  ,Advice to take care of the roots when transplanting.  
"Cycad leaf infested, Bonsai cutting techniques Bonsai Plant  ","Bt(K) Recommended, also advise her to prune near nod, nod internode. "
Boston fern turning brown Boston fern Browning fronds ,Mist the plant to keep humidity 
Bougainvillea has white flies and soil issues Bougainvillea  Whitefly,Spray DIY Chili and soap mix water to the leaves of plants DIY Chili and soap mix
Bougainvillea leaves rotten Bougainvillea Rotten leaves ,Put under shade 
Bougainvillea not flowering Bougainvillea Not flowering ,Increase PK fertilize 
"Dry, brown on bougainvillea leaves Bougainvillea Browning/drying leaves ",Increase watering 
Why is my Bougainvillea leaves turning brown? Bougainvillea Browning leaves ,"The plant has outgrown the pot. Repot in a larger container, trim the roots to fit in the existing container or prune the plant back. Repot the plant in new soil. "
 Bougainvillea Whitish webbing , 
 Bougainvillea Curling leaves , 
Snails eating vegetable Brassica species Holes on leaf Snail,use snail bait Snail bait; Beer trap; Snail pellet; Crush egg shells
Plant ID Breynia disticha 'Roseo Picta'  , 
Brinjal fruit drops Brinjal (Solanum melongena) Fruit dropping ,Recent hot weather may have stressed the plant. 
Rot of Bromeliads Bromeliads Rotting ,Watering issue. Insufficient of sunlight 
 Bromeliads Not flowering ,To fertilize 
White flies on brunfelsia Brunfelsia  Whitefly,Spray DIY Chili and soap mix water to the leaves of plants DIY Chili and soap mix
" Cactus Scar, rot base, ",Do not over water the plant. 
Caixin vegetable grow from seed but now has a lot of holes in them. Caixin Holes on leaf ,Leaf minor might be the pest 
Spider mites on house plant Caladium  Spider mite,horticultural oil Soapy water
Why is my Caladium leaves drooping? Caladium Drooping leaves ,The soil may be too wet (causing root rot) or too dry (feel the soil and water when dry).  
" Calamansi Buds dropping , fruits show fungul rot. ",Recommended to fertilize. Spray regularly with foliar spray. 
Calathea not growing well  Calathea Not growing well ,"Humidity not enough, might be too much wind "
Calathea water stress problem. Calathea  ,To increase watering for Calathea 
Dry curl leaves tips. Indirect sunlight. Calathea Curling leaves ,Might due to wind and low humidity. Suggested to spray 
Propagation - Can I propagate my Calathea plant with the thick roots? Calathea  ,You can propagate a new plant from the rhizome (horizontal stem) but not from the adventitious roots. 
Plant ID Calathea  , 
Why calathea leaf scorch? Calathea Leaf scorch ,It is under the hot sun. Place it under the shade. 
Yellowing of Calathea lutea leaves Calathea Yellowing leaves , 
Plant ID Calathea looseneri  , 
Brown tips Camelia Browning leaf tip ,Sun scorch or not enough water 
How to take care of camellia Camelia japonica  ,"semi-shade condition, well drained soil.  "
Propagation - how to propagate candy leaf? Candy Leaf  ,"Stem cutting, remove all the flowers and leaves. Sandy soil. "
Capsicum fruit forms but drops before it matures Capsicum Fruit dropping ,Not enough calcium; natural dropping of fruits to concentrate resources on a few good fruits (especially occurs when the plant is stressed and has limited resources) 
Capsicum not growing big  Capsicum  Not growing big ,Fertilizer must have high in P and K 
The amount of water given? Capsicum   ,Continue to water the plants regularly and use well drained soil. 
Why carpet grass turn brown after clipping every 3 months? Carpet grass Browning leaves ,Increase frequency of grass cutting to once in 2 months.  
cat whiskers has pest Cat Whiskers (Orthosiphon aristatus) Black spots on leaves Spider mite,spider mites. Apply neem oil Neem; Soapy water
Cultivation - How to grow? Catnip  ,"Full sun, not sprout, eggshells and coffee compost as fertilizer. "
Is Cayratia poisonous  Cayratia   ,Yes 
"Plant ID Celosia argentea var. plumosa, Drimiopsis maculata  ", 
Can it grow in semi shade? Chempaka   ,May not flower abundantly or at all in semi shade. Can try but may not flower well.  
Cherry tomato attacked by mealybugs Cherry tomato  Mealybug,"Spray White summer oil, Neem oil or DIY solution thoroughly and diligently. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
Cherry tomato plant is not flowering /fruiting Cherry tomato Not flowering/fruiting ,Apply balanced fertilizer high in potassium (K) to induce flowering 
Tomato planted in planter bed with ginger and onion get stem base brown. Cherry tomato Stem rot ,Plant in pot with more free draining media. Improve soil condition; water less frequently;  
Why did it not grow well? Cherry tomato   ,Trim it off  
Why my Chico plant died after transplanting on the ground? Chico Plant Necrosis (dying) ,May have some soil problems. 
 Chiku tree Leaves edge got burn , 
"How to get rid of pests from chili? Chili  Aphid, Hopper",Spray white summer oil or DIY soap water thoroughly and diligently White summer oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
"Chili got scorched; wilting Chili Scorched; wilting Aphid, Hopper, Whitefly","Spray in morning, water more White summer oil/ Neem Oil/ Diluted soap water"
How to get rid of mealybugs on chili? Chili  Mealybug ,"Spray White summer oil, Neem oil or DIY solution thoroughly and diligently. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
" Chili  Mealybug, Snail","Snail use spray .For snail, you use bait and copper. "
Chili with curled leaves at the top Chili Curled leaves Nutrient deficiency,"Monthly 2 teaspoon of balanced chemical fertiliser on top of organic fertiliser every 3 months, Ants are helpful to defend against pests. "
"My chili plant has curled, yellow leaves that are dropping off. Chili yellow, curled, dropping leaves Nutrient deficiency",Ensure direct sunlight and supplement the organic fertiliser with chemical fertiliser. Chicken manure is good for chili because of the high sulphur content. Compost shouldn't be put on the bottom of the pot; either apply on top or mix it in.   
How to get rid of whiteflies on Chili Chili  Whitefly,"Spray DIY Chili and soap mix water to the leaves of plants, companion planting; grow under mesh cover; Campanion planting using marigold and Tagetes DIY Chili and soap mix"
Chili does not turn red Chili Not maturing fruits ,Wait abit longer for chili to be ripe 
Chili flowers but no fruits Chili Not fruiting ,"Use banana peels, compost fertilizer "
Chili not flowering Chili Not flowering ,Increase fertilizing dosage also use fertilizer with brown potassium (K) 
Chili plant has white spot on it Chili White spots ,"Cut away ,spray organic pesticide. "
Chili shed fruits before maturity Chili Fruit dropping ,Control watering; can't water too much; well draining medium 
Chili with white blotches  Chili White blotches Mite,Possibly mites  
How to prevent chili fruits' stalks from dropping in hydroponic? Chili Fruit dropping ,Increase fertiliser concentration 
Propagation - How to grow chili plant? Chili  ,Grow the chili using seeds and transplant them when they are plantlet. 
How to treat my chili plant with yellow leaves? Chili Yellowing leaves ,Remove the leaves 
 Chili Do not grow well in semi-shade. ,Replace the plants with something that grows well in semi-shade. 
 Chili  Nutrients deficiency Leaf miner,Put osmocote and pluck away leaves  Neem oil / white oil; yellow sticky traps
curled leaves with spots Chili  Curling leaves with spots Virus,Viral infection.To get a new plant. To sanitise gardening tools in between usage in different plants. To discourage virus from spreading. 
leafminer control Chili and other leafy vegetables Leafmining  Leaf miner,"dishwashing soap 2% with low infestation, advised to use yellow sticky traps for vegetable plots Neem oil / white oil; yellow sticky traps"
What to do when there are flies? Chili seedlings  Fly, 
Chilli leaves are curly and have apids. Chilli Curling leaves Aphid,Whitesummer oil 
"Chilli fruit when green is ok. But when red, there are black spots that leads to rot. Chilli Black spots on fruits; rotting Fungal/Bacterial disease",Fungal/Bacterial disease 
chilli plant rotting  Chilli Browning leaves ,soil cannot be too wet. Do not water during rainy season. 
I put too much organic fertilizer on my plant and young shoots are turning brown. Chinese Money Plant (Pilea peperomioides) Browning young shoots (fertiliser burn) ,Remove the fertilizer pellets and repot with new soil if necessary 
 Chinese spinach  Chewd leaves Mealybug ,Neem oil  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Why my Chlorophytum not doing well? Chlorophytum Not doing well ,Too much water. Reduce watering frequency 
Chlorophytum comosum drying up including off shoot Chlorophytum comosum  Drying up ,Ensure sufficient water and check on soil to avoid compaction. 
 Chye sim  Leaf miner,Tunnels within the leaf caused by the leaf mine. Prune of the damage leaf Neem oil / white oil; yellow sticky traps
Vegetable bottom leaf becomes yellow. Chye sim  Yellowing leaves ,Normal leaf dying .Not viable kind. Might be overwater/underwater. 
 Chye sim  Chewd leaves ,Organic spray. (garlic chili) snails (bait traps) 
"Mosquito repelling plant palette Citronella, Marigold, Tagetes  ","Citronella, Marigold, tagetes "
 Citrus  Turn light green in colour ,Nutrition deficiency 
Plant ID Coccoloba uvifera  , 
Coconut Coconut  ,Add coconut fibre to soil condition 
Plant ID   Coleus  , 
Plants in balcony have been attacked by some hairy caterpillars causing them to turn brown and slowly die. Is this something we should be concerned about or just let it be and replace the plants? Conifer (Cupressus)  Moth caterpillar,"If possible, manually remove the caterpillars from the plant. Alternatively, try biological insecticide Bt-k that is known to be effective  controlling caterpillars. Bacillus thunringienis kurtaki (Btk)"
Plant ID Conocarpus erectus var.sericeus  , 
Plant ID convolvulaceae  , 
Why is my Cordyline leaves turning yellow? Cordyline Yellowing leaves ,"Since using a grow light slowed down the yellowing, but not completely, you can try adding another grow light "
Coriander  Coriander   ,Temperature plant which doesn’t grow well in Singapore 
Coriander turning yellow spotted? Coriander  Yellowing leaves with spots ,Not adapted to tropical climate  
Cultivation - How to grow coriander? Coriander   ,Cold water. Semi-shade. 
Propagation - How to grow coriander from seed? Coriander   ,Use seed tray  
Propagation - Corn seeds not growing Corn Not germinating ,Give enough water. About 3-5 days  
Costus pruning. Can the MOP prune the flower? Costus  ,"Costus can't cut halfway thus the plant, has to cut the base and fertilize to encourage new growth. "
cotton has pests Cotton - Gossypium hirsutum Black spots Spider mite,spider mites. Apply neem oil Neem; Soapy water
Mealybug on cotton plant Cotton Plant  Mealybug,Give spot application of recommended insecticides.  Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
Plant palette for garden shade trees Cratoxylum cochinchinense  ,Cratoxylum cochinchinense 
 Crinum asiahcum  ,"Grows well in semi- shade, but not on darker area. Replace with full shade plant. "
What time of cucumber? Cucumber   ,Bird cucumber - edible but very bitter coccinia grandis (ivy ground) 
Melon is laggy at the bottom Cucumis cultivar Elongated stem at the bottom ,"it is normal, provide trellis "
Gourd leaves looks diseased or not green Cucumis sativus Yellowing leaves ,No indication of malnutrition from photo. May wish to fertilise plant.  
 Cuphea Not flowering ,Apply balanced fertilizer high in potassium (K) to induce flowering 
 Cuphea  Necrosis (dying) ,Should water the plant more often 
How to get rid of mealybugs? Curry leaf  Mealybug,Spray thoroughly and diligently  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
How to get rid of scale? Curry leaf  Scale,Spray thoroughly and diligently  Horticultural oil/white oil
" Curry leaves  Black sludge, larvae, tortoise bettle, cockchafer beetle ","Organic pesticide, garlic, chilli, onion "
 Curry Plant Curling leaves Aphid?,Spray soap water  Diluted soap water
"Flies flying around curry plant, feed on leaves. Curry Plant  Fly","Might be fungus gnats, but probably not them that fed on leaves. Suggested to add sand or change soils. "
What are the black dots growing on the underside of my curry plant's leaves? Curry Plant  Fungus,"It's caused by a fungus. Avoid overwatering, try to increase air circulation, prevent overcrowding, try to keep the leaves dry. Prune off the affected parts. "
Identify scale insect on curry plants. Curry Plant  Scale ,Use white summer oil/neem oil available in nurseries. Horticultural oil/white oil
Black spot on curry plant . Curry Plant Black spots on leaves ,Avoid watering the plant everyday as it is not a full sun. 
Curry leaves yellowing Curry Plant Yellowing leaves ,Fertilizer  
Curry plant growing Curry Plant  ,Need full sun .Regular water. 
Spots on curry leaves Curry Plant Spots on leaves ,Remove the affected leaves and fertilize the plant 
Why did the curry leaves drop? Curry Plant Leaf dropping ,Overwatering 
Curry tree too tall and laggy Curry Tree  ,Slowly prune back to keep it compact 
Custard apple is infested Mealybugs and ants Custard apple  Ant & Mealybug,"Mealybug are sap  sucking insect which can cause wrinkling, ants feed on secretion. Treat mealy bugs problem first, in order to remove the ants. Apply white summer oil.  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
How to plant custard apple? Custard apple  ,Need full sun and fertilizer. 
Cycad-larvae Cycad  Caterpillar,Plough soil Bt-k
" Cycad Necrosis (dying) Caterpillar, Bacteria infection ","Clip away the infected leaves, do trenching around the new shoots and move the shoots to new area and let the shoots established. In the mean time, use BTK to control caterpillar. Bt-k"
" Cycad  Mealybug, Whitefly",Give spot application of recommended insecticides. Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
"Crack in tree bark, Dabergia oliveri  Dabergia oliveri  Cracked bark ",Call a certified arborist 
Propagation - Dahlia to propagate  Dahlia  ,Need cool treatment. 
"What insect is attacking my plant? How to get rid of it? Desert Rose (Adenium) Small, yellow round insects with black legs Aphid","Aphid; Spray with liquid detergent solution, summer oil Diluted soap water"
Pest and disease identification Desert Rose (Adenium)  Fungus (Rust),Brown stuff on rose Neem juice  (neem oil + water); fermented tobacco leaves
Rust on Adenium Desert Rose (Adenium)  Fungus (Rust),Use Neem juice  (neem oil + water); fermented tobacco leaves would be good too Neem juice  (neem oil + water); fermented tobacco leaves
Adenium rotting  Desert Rose (Adenium) Rotting ,Cut rotten part. Remove it. Add media (pebbles/larva rock)Do not use compost 
desert rose leaves are turning smaller Desert Rose (Adenium) Leaves turning smaller ,improve soil condition by making it more well drained.  
Start to rot at the pruning point Desert Rose (Adenium) Stem rot  ,Cut at angle of 45 degree to avoid water accumulation; Do not fertilise during the recovery period. 
 Desert Rose (Adenium) Flower tip rot  ,Do not overwater the plant. 
 Desmodium  Mealybug,Give spot application of recommended insecticides. Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
Di huang miao have holes on leave. Di huang miao Holes on leaf ,Probably chewing insect. Suggest netting apply neem oil. 
Propagation - How to grow Dicentia seeding? Dicentia  ,Use sphagnum moss  and support 
Dill  Dill  ,"Not commonly grown here, provided light shade "
Fake dill Dill  , 
Dischidia. How to propagate ? Dischidia  ,Dischidia has to grow bigger before transplanted on a piece on wood. 
Cultivation - Dorstenia not growing well. Dorstenia  ,"Current condition, add compost. Remove compost, remove rotting roots. "
Downy Mildew Downy Mildew  Fungus (Downy mildew),Water at the base instead of the leaves. 
What is my plant and why is it dying? Dracaena Yellowing leaves with brown spots Aphid; 2ndary fungal infection,"Dracaena, was attacked by aphids, yellowing and brown spots may be caused by aphid feeding or secondary fungal infection "
Mealy bugs on Dracaena leaves Dracaena White cottony mass on the leaves Mealybug,Spray thoroughly and diligently  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Dracaena leaf dying Dracaena Drying leaves ,"too hot, too much water suddenly, causing plant shock "
Propagation - How to propagate Dracaena? Dracaena  ,Stem cutting 
Unhealthy Dracaena reflexa Dracaena reflexa Not growing well ,Increase watering for Dracaena reflexa 
Dracenea are growing a lot in the same nods. Dracenea  ,May be too stress. Observe and grow some. 
how long does it take for dragon fruit to start fruiting from seed? Dragonfruit  ,about 2 years 
Squirrels are eating my durian fruits Durian  Squirrel,Put up a scarecrow 
when can I start harvesting grafted mao shan wang Durian  ,normal grafted durian requires 4 years.  
Durian has brown spots on the inside of the husk and on the yellow flesh.  Durio species Brown spots on unripe fruits ,Possible pest attack - Durian rot. Require photo to further assess and advice.  
Echeveria chinensis .Bacteria infected. Echeveria chinensis  Bacterial disease,No oil based pesticide. 
Plant ID  Echeveria sempervivum  , 
Cultivation - How to grow edible plants of some recommendation? Edibles  ,"Full sun, moderate water, fertilizing . "
 Egg Plant/ Brinjal  Orange flying insects,"Crop rotation, full sun, 3/4 days ,watering everyday, fertilization organic compost "
Spider mites infestation Egg Plant/ Brinjal  Spider mite,Apply soapy water Neem; Soapy water
White flies on chili and brinjal Egg Plant/ Brinjal  Whitefly,"Spray DIY Chili and soap mix water to the leaves of plants, companion planting; grow under mesh cover DIY Chili and soap mix"
Brinjal flowers are dropping Egg Plant/ Brinjal Flower dropping ,Hand pollinate 
Why is the plant dying? Egg Plant/ Brinjal Drying leaf margin ,Suspect windy site 
Why my brinjal is not flowering/fruiting ? Egg Plant/ Brinjal Not flowering/fruiting ,May be not pollinated and aborted  
 Egg Plant/ Brinjal Drying leaves ,Watering is best done early in the morning. 
Ephiphyllum oxypetolum (Queen of the night) flower not growing well. Ephiphyllum oxypetolum  ,Resident might water too much. Try  lessen water first. 
Coloured Episcia (like Cleopatra) is not growing well Episcia Stunted growth ,Put a plastic bag around the plant especially when it's young or put it in a terrarium (there should be slight condensation) 
Cultivation - Episcia not growing well Episcia Stunted growth ,Grows better in a small pot; put it in a clear bag for 2 weeks and don't disturb; then open the bag to let in fresh air 
Episcia plant stem rot. Episcia  Stem rot  ,Replant with fresh potting soil. 
 Eucalyptus  Nutrients deficiency Leaf miner,Put osmocote and pluck away leaves  Neem oil / white oil; yellow sticky traps
Plant ID Eupatorium capilifolium  , 
Cultivation - How to grow Euphorbia (red flower) cultivar Euphorbia  ,"Increase sunlight, reduce watering "
Plant ID  Euphorbia cyathium  , 
White coating on the tip of new shoots Fern  Fungus (Powdery Mildew) ,"Could be powdery mildew. Apply fungicide, milk water or neem Fungicide/ milk water/ neem"
Fern. Is it ok to cut brown roots as they are disturbing? Fern Brown roots ,"Cut only those that are very long, once they are disturbing. "
Fig's leaves turning brown Ficus tree Browning leaves ,"could be from hot weather, continue to monitor "
" Fig tree Cracked bark  Beetle, Borer, Termite ",Look for arborist  Systemic pesticide
Rust on Ficus Fig tree  Fungus (Rust),apply fungicide  Neem juice  (neem oil + water); fermented tobacco leaves
 Fig tree Yellowing leaves Mealybug ,"Lack of sunlight- try treat the soil.
Give spot application of recommended insecticides. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
Ficus does not produce figs Fig tree Not fruiting ,Apply NPK fertiliser 
Ficus tree turn yellow and leaves dropping. Fig tree Yellowing/dropping leaves ,Need to repot the ficus tree as root 
Are the fruits edible? Fig tree (Ficus auriculata)  ,Yes ripe figs are used to make jam. Young figs are eaten raw with sambal belacan or cooked in a curry 
Spider mites infestation Fig tree (Ficus carica)  Spider mite?,Apply miticide Soapy water
Cultivation - How to grow Ficus cairica on balcony and how long till it fruits? Fig tree (Ficus carica)  ,"Since it's growing well, maintain your growing conditions; wait for a year for it to fruit "
Unhealthy Ficus elastica  Fig tree (Ficus elastica) Not growing well ,Advise to move Ficus elastica nearer to wind for more sun. 
ficus lyrata has mealy bugs.  Fig tree (Ficus lyrata) White cottony mass on the leaves Mealybug,Spray thoroughly and diligently  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
